ID,Action,Activity Type,Timestamp,Career,Plan,Curricular Unit,Course Edition,Course Year,Grade,Credits,Unified Curricular Unit,Unified Curricular Unit Name
s,Evaluation,Exam,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1610,,,6,10,1610,Int. a la inv. de Operaciones
s,Evaluation,Course,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1537,1,2020,6,12,1511,Sistemas Operativos
s,Evaluation,Exam,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1537,,,6,12,1511,Sistemas Operativos
s,Evaluation,Course,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1325,1,2020,6,12,1325,Teoria de Lenguajes
s,Evaluation,Exam,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1325,,,6,12,1325,Teoria de Lenguajes
s,Evaluation,Course,Thu Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1911,2,2020,6,15,1911,Fundamentos de Bases de datos
s,Evaluation,Exam,Tue Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1911,,,6,15,1911,Fundamentos de Bases de datos
s,Evaluation,Exam,Tue Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1327,,,6,15,1327,Taller de Programacion
s,Evaluation,Course,Thu Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1327,2,2020,6,15,1327,Taller de Programacion
s,Evaluation,Course,Thu Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1446,2,2020,6,12,1446,Redes de Computadoras
s,Evaluation,Exam,Tue Dec 31 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1446,,,6,12,1446,Redes de Computadoras
s,Evaluation,Course,Thu Jul 01 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1716,1,2021,6,10,1716,Int. a la ing. de software
s,Evaluation,Exam,Thu Jul 01 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1716,,,6,10,1716,Int. a la ing. de software
s,Evaluation,Course,Thu Jul 01 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1354,1,2021,6,10,1354,Programacion Funcional
s,Evaluation,Exam,Thu Jul 01 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1354,,,6,10,1354,Programacion Funcional
s,Evaluation,Course,Fri Dec 31 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1721,2,2021,6,15,1721,Proyecto de ing. de software
s,Evaluation,Exam,Wed Dec 31 03:00:00 UTC 2021,INGENIERIA EN COMPUTACION,1997,1721,,,6,15,1721,Proyecto de ing. de software
s,Evaluation,Course,Sat Dec 31 03:00:00 UTC 2022,INGENIERIA EN COMPUTACION,1997,1730,2,2022,6,30,1730,Proyecto de grado
